ipo_stock_dtl_id,org_id,stock_symbol,valuation_at_ipo,money_raised_at_ipo,ipo_share_price,ipo_date,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
1,10,NYSE:JNPR,$1.7B,$163.2M,$34.00,2-Jul-99,NULL,"2024-06-14 16:43:51",NULL,NULL,NULL,NULL
2,20,NSE:ALKALI,,,,7-Nov-08,NULL,"2024-06-14 16:44:12",NULL,NULL,NULL,NULL
